Scene,Algorithm,Run,Seed,BestFitness,Runtime,Feasible,Violation,WallClock
1,FAEAE,1,20270929,302.929543983577,9.3474674,1,0,9.847811
1,FAEAE,2,20270930,301.301306284765,8.6567864,1,0,8.9196246
1,FAEAE,3,20270931,302.338866091949,8.6954448,1,0,8.934654
1,FAEAE,4,20270932,300.418050823015,8.6258273,1,0,8.8604602
1,FAEAE,5,20270933,303.56372033823,8.5143748,1,0,8.7511709
1,FAEAE,6,20270934,301.463475233046,8.7024822,1,0,8.9397383
1,FAEAE,7,20270935,301.825774678552,8.6243096,1,0,8.8538945
1,FAEAE,8,20270936,301.803302466238,8.4195316,1,0,8.6379815
1,FAEAE,9,20270937,301.734580800086,8.7836638,1,0,9.0043263
1,FAEAE,10,20270938,301.285320131538,8.6398459,1,0,8.859262
1,FAEAE,11,20270939,300.418999436703,8.8418174,1,0,9.0611556
1,FAEAE,12,20270940,302.250270384771,8.4657265,1,0,8.6860227
1,FAEAE,13,20270941,302.151198971597,8.6268284,1,0,8.8478957
1,FAEAE,14,20270942,303.242017306899,8.7315163,1,0,8.9565619
1,FAEAE,15,20270943,303.147236868312,8.7137352,1,0,8.9392155
1,FAEAE,16,20270944,302.557012448648,8.8757609,1,0,9.1003149
1,FAEAE,17,20270945,301.721678899813,8.3766088,1,0,8.5955177
1,FAEAE,18,20270946,303.633086988542,8.8080635,1,0,9.0352023
1,FAEAE,19,20270947,303.125172483411,8.1552543,1,0,8.3824974
1,FAEAE,20,20270948,302.676039161246,8.4495035,1,0,8.6657894
1,FAEAE,21,20270949,302.384986791584,8.6208943,1,0,8.8392773
1,FAEAE,22,20270950,302.40419840397,8.6436051,1,0,8.8680017
1,FAEAE,23,20270951,302.290357406191,8.6832086,1,0,8.9058852
1,FAEAE,24,20270952,303.8461957235,8.5382091,1,0,8.7576835
1,FAEAE,25,20270953,302.203556359706,8.6076694,1,0,8.8327189
1,FAEAE,26,20270954,301.882831368727,8.4973323,1,0,8.737721
1,FAEAE,27,20270955,303.592360807705,8.4761006,1,0,8.693591
1,FAEAE,28,20270956,303.575274547891,8.4322885,1,0,8.6581141
1,FAEAE,29,20270957,301.318757536146,8.4506423,1,0,8.6758873
1,FAEAE,30,20270958,302.576509303155,8.6279792,1,0,8.8451075
2,FAEAE,1,20280929,330.434211394075,7.1280585,1,0,7.4096051
2,FAEAE,2,20280930,326.533930598278,7.8344273,1,0,8.1122699
2,FAEAE,3,20280931,321.000986329812,7.6047364,1,0,7.8789456
2,FAEAE,4,20280932,323.559248304498,7.4791946,1,0,7.7609241
2,FAEAE,5,20280933,316.497967755547,7.3552437,1,0,7.6290978
2,FAEAE,6,20280934,317.620055385244,7.407495,1,0,7.6887723
2,FAEAE,7,20280935,324.540600884349,6.9209815,1,0,7.1968449
2,FAEAE,8,20280936,317.962148294885,8.6702969,1,0,8.9442569
2,FAEAE,9,20280937,312.773901150165,8.7715884,1,0,9.0452482
2,FAEAE,10,20280938,324.226331857515,7.4918436,1,0,7.7643467
2,FAEAE,11,20280939,324.077743046261,8.1432121,1,0,8.4168744
2,FAEAE,12,20280940,318.013659794403,7.5590098,1,0,7.8304322
2,FAEAE,13,20280941,325.495271122093,6.8970407,1,0,7.1667617
2,FAEAE,14,20280942,313.55517027183,7.617092,1,0,7.8941971
2,FAEAE,15,20280943,319.069272277309,7.5298526,1,0,7.805694
2,FAEAE,16,20280944,309.970621096058,7.5941056,1,0,7.8688454
2,FAEAE,17,20280945,308.879669682704,7.8404729,1,0,8.1127961
2,FAEAE,18,20280946,323.371125161201,7.9406752,1,0,8.2111864
2,FAEAE,19,20280947,321.822605370157,7.3102662,1,0,7.580795
2,FAEAE,20,20280948,333.371342197636,7.3654157,1,0,7.6390255
2,FAEAE,21,20280949,336.872187380498,7.3701568,1,0,7.6442163
2,FAEAE,22,20280950,320.265885323408,8.6946823,1,0,8.9674173
2,FAEAE,23,20280951,318.984782878286,7.2077025,1,0,7.4792743
2,FAEAE,24,20280952,324.878598102781,7.6074148,1,0,7.8779531
2,FAEAE,25,20280953,318.558096830968,8.0042165,1,0,8.2728167
2,FAEAE,26,20280954,317.485466879297,8.4092307,1,0,8.6868226
2,FAEAE,27,20280955,323.841302369703,6.8469465,1,0,7.120587
2,FAEAE,28,20280956,331.273583363477,7.7374508,1,0,8.0126311
2,FAEAE,29,20280957,309.626576824262,7.4239291,1,0,7.6986118
2,FAEAE,30,20280958,316.244793275791,7.4464824,1,0,7.7188165
4,FAEAE,1,20300929,328.30003100089,10.2165375,1,0,10.5269109
4,FAEAE,2,20300930,332.01884099363,10.1749759,1,0,10.48189
4,FAEAE,3,20300931,330.576487743105,10.3146172,1,0,10.6229297
4,FAEAE,4,20300932,329.588117915976,10.3180157,1,0,10.6311509
4,FAEAE,5,20300933,327.753632051302,10.0792885,1,0,10.3847406
4,FAEAE,6,20300934,331.391145789221,10.1975145,1,0,10.5077606
4,FAEAE,7,20300935,327.591661891323,10.2274374,1,0,10.5268155
4,FAEAE,8,20300936,330.986909437708,10.3328507,1,0,10.64578
